gvkey,datadate,fyear,indfmt,consol,popsrc,datafmt,curcd,artfs,at,bkvlps,che,cogs,cshfd,csho,dlc,dltt,dt,dvc,ebit,ebitda,emp,epsfx,fincf,invt,ivncf,lct,lt,ni,oancf,pstk,revt,sale,seq,wcap,xint,xopr,costat,prcc_f,naics
187118,20141231,2014,INDL,C,D,STD,USD,,1681.104,3.1075,481.659,253.891,325.61,317.644,0,466.216,466.216,0,271.37,350.782,5.616,0.93,-207.331,0,-506.311,173.487,694.019,301.424,275.32,0,899.084,899.084,987.085,460.655,19.322,548.302,A,17.96,519130
187122,20150331,2014,INDL,C,D,STD,USD,,2.553,-0.065,0.867,1.101,39.952,43.276,1.701,0.243,1.944,0,-0.784,-0.611,0.062,-0.13,0.392,0.162,0.015,4.798,6.09,-5.433,-0.18,0,7.437,7.437,-2.815,-3.205,0.132,8.048,A,4.25,711110
187128,20141231,2014,INDL,C,D,STD,USD,,8798,21.2027,74,1681,206.3,203.7,1,2280,2281,0,534,1492,1.1,0.62,344,45,-1437,1209,4370,164,1070,0,3493,3493,4319,660,123,2001,A,11.63,211111
187130,20150331,2014,INDL,C,D,STD,CAD,,3.697,0.0517,3.639,0,69.261,69.729,0,0,0,0,-1.218,-1.208,,0,0,0,0.086,0.09,0.09,-0.241,-0.765,0,0,0,3.607,3.582,0,1.208,A,0.035,212221
187132,20141231,2014,INDL,C,D,STD,USD,,271.9,19.8644,5.212,2.805,2.412,2.116,25,46.595,,0,4.445,4.722,0.035,0.53,11.119,0.15,-17.555,,229.867,1.267,2.914,0,11.644,11.644,42.033,,,6.922,A,20.72,522120
187132,20141231,2014,FS,C,D,STD,USD,,271.9,,,,,,25,46.595,,0,,,0.035,,,,,,229.867,,,0,11.644,,42.033,,2.605,,A,20.72,522120
187135,20140731,2014,INDL,C,D,STD,USD,,3.412,-0.0021,0.136,0.064,460.26,2228.732,1.862,0,0,0,-2.718,-2.696,,-0.03,2.367,0.028,-0.687,8.051,8.051,-11.799,-1.582,0,0.018,0.018,-4.639,-7.621,10.806,2.714,A,0.0015,334220
187139,20141231,2014,INDL,C,D,STD,USD,,,,,,,0.1,,,,,,,,,,,,,,,,,,,,,,,A,15.37,525910
187141,20150531,2014,INDL,C,D,STD,CAD,,0.202,0.0402,0.201,0,3,4,0,0,0,0,-0.063,-0.063,,-0.02,0,0,0,0.041,0.041,-0.063,-0.03,0,0,0,0.161,0.161,0,0.063,A,0.065,999990
187144,20141231,2014,INDL,C,D,STD,USD,,,,,,,6.9,,,,,,,,,,,,,,,,,,,,,,,A,34.13,525910
187145,20141231,2014,INDL,C,D,STD,USD,,,,,,,138.75,,,,,,,,,,,,,,,,,,,,,,,A,37.96,525910
