gvkey,datadate,fyear,indfmt,consol,popsrc,datafmt,conm,curcd,act,ceq,che,ci,csho,dlc,dltt,dt,dvt,ebitda,emp,fincf,icapt,idit,intan,invt,ivncf,ivst,lct,oancf,ppegt,pstk,rect,revt,seq,tfva,txt,xint,xlr,xopr,costat,prcc_c,naics
061711,20141231,2014,INDL,C,D,STD,TG THERAPEUTICS INC,USD,85.2150,80.1020,78.7760,-55.7810,44.9330,0.2750,0.0000,0.275,0.0000,-55.7170,0.0240,68.6430,80.1020,0.0550,0.8000,0.0000,-18.3550,23.0620,5.1210,-35.0600,,0.0000,0.0850,0.1520,80.1020,0.0000,0.0000,0.9300,,55.8690,A,15.8400,325412
061712,20141231,2014,INDL,C,D,STD,BLONDER TONGUE LABS INC,USD,12.5650,13.7380,0.2320,-1.5880,6.2630,1.5550,3.6070,3.893,0.0000,0.7100,0.1620,-0.2230,17.3450,0.0000,3.1000,9.2570,-1.2270,0.0000,3.8040,1.6150,18.7950,0.0000,2.4250,29.1290,13.7380,,0.0310,0.2420,,28.4190,A,2.6900,334220
061726,20140630,2014,INDL,C,D,STD,ADEPT TECHNOLOGY INC,USD,29.6090,20.1670,7.7940,-0.4540,13.0510,0.0000,0.0000,0,0.4420,0.9070,0.1520,1.2510,20.1670,0.0590,2.2890,10.2960,-0.4170,0.1940,12.3430,0.9540,14.7920,0.0000,10.9740,57.5400,20.1670,,0.3490,0.0540,,56.6330,A,8.6800,333999
061732,20140831,2014,INDL,C,D,STD,MSC INDUSTRIAL DIRECT  -CL A,USD,961.4150,1398.5630,47.1540,235.4400,61.6190,96.8290,240.2350,267.064,82.6070,465.1130,6.5760,-187.0390,1638.7980,0.4140,767.6490,449.8140,-94.2060,0.0000,309.1640,272.4060,589.7120,0.0000,382.7840,2787.1220,1398.5630,,143.4580,3.8740,,2322.0090,A,81.2500,423830
061735,20140930,2014,INDL,C,D,STD,STAR GAS PARTNERS  -LP,USD,296.4650,273.2450,48.9990,35.4770,57.4050,0.0000,124.5720,124.572,19.8500,101.9860,2.9580,-23.8950,397.8170,6.9200,310.1140,59.2400,-107.3180,0.0000,253.4320,95.1550,170.3070,0.0000,123.8000,1961.7240,273.2450,26.2630,25.3150,18.5060,,1859.7380,A,6.1000,454310
061739,20141231,2014,INDL,C,D,STD,HARTFORD FINANCIAL SERVICES,USD,,18720.0000,7461.0000,1805.0000,424.4150,456.0000,5653.0000,6109,290.0000,2178.0000,17.5000,-4476.0000,24373.0000,0.0000,498.0000,0.0000,1696.0000,7062.0000,,1886.0000,3131.0000,0.0000,33374.0000,18320.0000,18720.0000,199248.0000,350.0000,376.0000,,16142.0000,A,41.6900,524126
061739,20141231,2014,FS,C,D,STD,HARTFORD FINANCIAL SERVICES,USD,,18720.0000,,,,456.0000,5653.0000,,290.0000,,17.5000,,24373.0000,,,,,0.0000,,,3131.0000,0.0000,,18736.0000,18720.0000,,350.0000,376.0000,,,A,41.6900,524126
061743,20141231,2014,INDL,C,D,STD,KINGSWAY FINANCIAL SVCS INC,USD,,37.4640,93.6820,-12.3000,19.7100,13.6180,45.3590,58.977,0.3000,7.4230,0.5460,6.7770,93.5550,0.0000,57.8860,0.0000,-16.7160,19.6560,,-14.6240,23.4590,6.3300,61.8490,187.8340,43.7940,79.7890,-0.0570,5.6450,,180.4110,A,5.5500,524126
061743,20141231,2014,FS,C,D,STD,KINGSWAY FINANCIAL SVCS INC,CAD,,43.4620,,,,15.7980,52.6210,,0.0000,,0.5460,,114.7810,,67.1540,,,0.0000,,,27.2150,7.3430,,205.4560,50.8050,,-0.0660,6.5490,,,A,6.5600,524126
061745,20141231,2014,INDL,C,D,STD,IMPAX LABORATORIES INC,USD,730.4510,887.8770,414.8560,50.2040,71.2280,0.0000,0.0000,0,0.0000,123.1280,1.0610,14.4140,887.8770,1.4730,54.2850,80.5700,-16.6010,199.9830,158.6990,32.8170,304.3580,0.0000,146.4900,596.0490,887.8770,,33.2060,0.0430,,472.9210,A,31.6800,325412
